schaube 	
0.9	11
0.95	12
1	12
1.05	12
1.1	12
1.15	12
1.2	13
1.25	13
1.3	13
1.35	14
1.4	15
1.45	16
1.5	17
1.55	17
1.6	18
1.65	19
1.7	21
1.75	22
1.8	24
1.85	26
1.9	28
1.95	31
2	33
2.05	36
2.1	40
2.15	44
2.2	48
2.25	53
2.3	56
2.35	65
2.4	73
2.45	79
2.5	88
2.55	93
2.6	99
2.65	99
2.7	92
2.75	80
2.8	63
2.85	49
2.9	41
2.95	38
3	43
3.05	55
3.1	72
3.15	89
3.2	102
3.25	103
3.3	102
3.35	99
3.4	98
