1;0
3;1
1;1
1;1
2;2
1;1
2;2
1;1
1;0
2;1
1;1
2;2
3;1
3;1
1;1
1;1
1;0
1;0
2;1
1;49
1;0
2;1
3;1
3;1
3;1
1;0
1;0
2;1
1;0
1;1
1;1
3;1
3;1
1;1
1;1
2;2
1;0
1;0
2;1
1;0
2;1
1;1
1;1
3;1
1;1
1;1
2;2
1;1
3;1
1;1
3;1
3;2
1;1
1;1
1;1
1;1
1;0
1;1
1;1
1;1
2;2
1;0
1;0
3;1
1;1
2;2
1;1
3;1
1;1
1;1
1;0
3;308
1;1
1;1
1;1
1;0
3;1
3;1
1;0
1;1
3;1
1;1
2;2
1;1
1;1
3;1
3;1
1;0
2;1
1;2
1;0
2;1
1;0
1;1
1;0
1;1
1;0
1;1
2;2
1;1
1;1
1;1
1;0
1;1
1;1
1;0
3;1
3;1
1;0
1;1
1;1
2;2
1;1
2;2
1;1
2;2
1;1
3;1
1;1
2;2
1;1
1;1
2;2
1;1
1;1
1;1
1;0
2;1
1;1
2;2
3;1
1;186
3;1
1;0
1;1
1;0
2;1
1;57
1;1
1;0
2;1
1;0
1;1
3;1
1;1
2;2
1;0
2;1
1;1
1;1
1;0
1;0
2;1
1;1
2;2
1;1
1;0
2;1
3;1
1;1
1;1
1;1
1;0
1;1
1;1
2;2
1;1
1;1
2;2
1;1
1;0
3;1
1;0
2;1
1;2
1;1
2;2
1;1
1;1
1;0
2;1
1;1
1;1
1;1
1;1
3;1
1;1
1;0
1;1
1;1
1;0
2;1
3;1
1;1
1;0
2;1
1;0
1;1
2;2
1;1
2;2
1;1
1;1
1;0
2;1
1;1
1;0
2;1
1;1
1;0
1;1
1;0
1;1
1;1
2;2
1;1
2;2
1;0
1;1
2;2
1;1
1;0
3;145
1;1
1;1
1;0
2;1
1;1
2;2
1;1
2;2
1;0
2;1
1;0
2;1
3;1
1;1
1;1
2;2
3;1
1;1
1;1
2;2
1;0
2;1
1;1
3;326
3;1
1;0
2;1
1;1
3;1
1;1
3;1
1;1
2;2
1;1
3;1
1;1
1;0
1;1
1;1
1;1
2;2
1;0
2;1
1;1
1;1
1;1
2;2
1;1
1;0
1;1
1;0
2;1
1;0
1;0
2;1
1;100
1;0
1;2
1;0
1;1
1;1
1;1
2;2
1;1
2;2
1;0
2;1
1;1
1;1
1;1
2;2
1;1
1;0
1;1
1;1
2;2
1;1
1;70
2;71
3;1
1;0
2;1
3;1
1;0
3;1
1;1
2;2
1;1
2;2
3;1
1;1
1;0
1;1
2;2
1;1
2;2
1;1
1;1
1;1
1;1
3;1
1;1
1;1
1;1
2;2
1;1
1;0
1;1
1;0
2;1
1;1
1;0
2;1
1;1
2;2
1;0
2;1
1;0
2;1
3;1
1;1
1;1
3;1
1;1
3;1
3;1
1;1
2;2
1;1
2;2
1;0
2;1
1;1
2;2
1;1
1;1
2;2
1;1
1;1
1;0
2;1
1;1
1;1
2;2
1;1
2;2
1;0
2;1
3;1
1;1
3;1
1;1
2;2
1;0
1;0
1;1
1;1
1;1
1;1
2;2
1;0
2;1
1;1
1;1
2;2
1;1
3;1
1;1
1;1
2;2
1;1
1;0
1;1
1;1
1;0
2;1
1;0
1;1
3;1
1;0
1;1
1;1
3;1
1;0
2;1
1;1
1;1
1;1
1;1
1;0
1;1
3;0
1;0
2;1
1;0
2;1
1;1
3;1
3;1
1;1
2;2
1;1
3;1
1;0
2;1
1;1
1;1
1;1
2;2
3;2
1;1
1;1
2;2
1;1
1;0
2;1
1;1
1;1
2;230
1;235
1;1
1;1
1;1899
2;1900
1;1
1;1
2;2
1;1
1;1083
2;1084
1;1
2;2
1;1
1;1
2;2
1;1
1;1
1;1
1;1
1;1
1;1
1;0
3;0
3;1
1;1
1;0
2;1
1;1
2;2
1;1
1;1
1;1
1;1
3;1
1;1
1;1
1;1
1;0
2;1
1;0
1;1
1;1
3;1
1;1
2;82
1;87
3;1
1;1
2;2
1;0
1;1
2;2
1;1
2;2
1;1
3;1
1;0
