schaube 	
0.9	11
0.95	11
1	11
1.05	11
1.1	11
1.15	12
1.2	12
1.25	12
1.3	13
1.35	13
1.4	14
1.45	14
1.5	15
1.55	15
1.6	16
1.65	17
1.7	19
1.75	20
1.8	21
1.85	23
1.9	25
1.95	27
2	30
2.05	33
2.1	36
2.15	40
2.2	45
2.25	50
2.3	56
2.35	64
2.4	72
2.45	81
2.5	91
2.55	101
2.6	111
2.65	118
2.7	118
2.75	107
2.8	89
2.85	69
2.9	55
2.95	52
3	62
3.05	82
3.1	101
3.15	118
3.2	123
3.25	120
3.3	112
3.35	106
3.4	105
