schaube 			
0.9	0.005	11	0.5
0.95	0.005	11	0.5
1	0.005	10	0.5
1.05	0.005	10	0.5
1.1	0.005	10	0.5
1.15	0.005	10	0.5
1.2	0.005	10	0.5
1.25	0.005	10	0.5
1.3	0.005	9	0.5
1.35	0.005	10	0.5
1.4	0.005	10	0.5
1.45	0.005	10	0.5
1.5	0.005	10	0.5
1.55	0.005	10	0.5
1.6	0.005	10	0.5
1.65	0.005	11	0.5
1.7	0.005	12	0.5
1.75	0.005	12	0.5
1.8	0.005	13	0.5
1.85	0.005	13	0.5
1.9	0.005	14	0.5
1.95	0.005	15	0.5
2	0.005	17	0.5
2.05	0.005	18	0.5
2.1	0.005	20	0.5
2.15	0.005	22	0.5
2.2	0.005	25	0.5
2.25	0.005	28	0.5
2.3	0.005	32	0.5
2.35	0.005	37	0.5
2.4	0.005	43	1
2.45	0.005	52	1
2.5	0.005	63	1
2.55	0.005	77	1
2.6	0.005	93	2
2.65	0.005	114	2
2.7	0.005	142	2
2.75	0.005	171	2
2.8	0.005	184	3
2.85	0.005	173	3
2.9	0.005	151	3
2.95	0.005	143	3
3	0.005	160	3
3.05	0.005	184	3
3.1	0.005	191	3
3.15	0.005	171	3
3.2	0.005	142	2
3.25	0.005	114	2
3.3	0.005	95	2
3.35	0.005	83	2
3.4	0.005	83	2
