1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	516.089968
1.500000	515.696152
2.500000	515.257458
3.500000	512.814463
4.500000	516.936902
5.500000	515.727198
6.500000	513.761207
7.500000	512.263558
8.500000	519.035206
9.500000	513.243461
10.500000	512.947092
11.500000	509.798176
12.500000	509.033236
13.500000	513.995662
14.500000	513.442307
15.500000	506.986248
16.500000	510.997423
17.500000	505.548508
18.500000	508.641133
19.500000	509.455693
20.500000	510.189067
21.500000	504.847811
22.500000	503.500203
23.500000	504.855383
24.500000	503.495028
25.500000	500.353520
26.500000	503.180719
27.500000	501.972827
28.500000	505.627045
29.500000	496.025796
30.500000	503.338037
31.500000	506.139678
32.500000	504.213473
33.500000	506.356818
34.500000	502.070870
35.500000	504.660057
36.500000	506.028119
37.500000	511.448767
38.500000	508.513761
39.500000	504.749551
40.500000	512.544529
41.500000	507.617476
42.500000	504.093092
43.500000	506.610017
44.500000	500.210127
45.500000	509.125313
46.500000	504.006603
47.500000	510.255761
48.500000	504.496460
49.500000	503.331601
50.500000	509.306467
51.500000	503.290753
52.500000	501.552536
53.500000	508.374583
54.500000	504.082663
55.500000	509.771557
56.500000	506.878960
57.500000	503.668776
58.500000	501.560471
59.500000	508.550262
60.500000	508.715111
61.500000	507.941012
62.500000	506.728234
63.500000	503.386878
64.500000	501.415473
65.500000	506.219790
66.500000	504.951350
67.500000	504.738247
68.500000	504.114180
69.500000	504.784865
70.500000	503.773937
71.500000	503.318842
72.500000	504.889774
73.500000	501.441060
74.500000	503.984719
75.500000	509.308514
76.500000	505.859035
77.500000	506.540065
78.500000	501.586662
79.500000	502.501647
80.500000	502.684002
81.500000	504.054621
82.500000	501.196023
83.500000	497.614283
84.500000	502.011234
85.500000	503.889765
86.500000	502.671497
87.500000	500.743091
88.500000	505.901833
89.500000	505.208075
90.500000	502.184790
91.500000	503.078548
92.500000	504.451653
93.500000	501.457439
94.500000	504.671379
95.500000	504.292748
96.500000	499.999982
97.500000	502.326101
98.500000	510.278866
99.500000	511.555248
100.500000	505.275550
101.500000	505.353305
102.500000	506.806394
103.500000	506.821963
104.500000	506.151965
105.500000	507.954892
106.500000	504.603761
107.500000	505.426456
108.500000	502.065447
109.500000	503.117381
110.500000	505.862782
111.500000	505.536982
112.500000	507.745199
113.500000	505.057051
114.500000	506.023255
115.500000	504.279331
116.500000	506.071085
117.500000	509.832584
118.500000	510.582464
119.500000	506.578454
120.500000	503.730558
121.500000	504.832432
122.500000	506.870044
123.500000	508.537377
124.500000	511.020142
125.500000	499.909356
126.500000	503.690807
127.500000	500.979423
