1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	517.805900
1.500000	514.986473
2.500000	515.624443
3.500000	513.430461
4.500000	520.857239
5.500000	517.942677
6.500000	515.827959
7.500000	513.124016
8.500000	519.159644
9.500000	514.897120
10.500000	514.059367
11.500000	512.125666
12.500000	509.314422
13.500000	514.632447
14.500000	512.380208
15.500000	509.741363
16.500000	511.544138
17.500000	507.713197
18.500000	509.219662
19.500000	511.605013
20.500000	509.608493
21.500000	505.024334
22.500000	505.240468
23.500000	505.470145
24.500000	504.306425
25.500000	501.788036
26.500000	505.804788
27.500000	502.968873
28.500000	508.800972
29.500000	498.191122
30.500000	506.472152
31.500000	508.826256
32.500000	506.850210
33.500000	509.177120
34.500000	503.900958
35.500000	506.092770
36.500000	509.483350
37.500000	512.679391
38.500000	509.092205
39.500000	508.226055
40.500000	514.183935
41.500000	509.014023
42.500000	505.614571
43.500000	508.260506
44.500000	503.407375
45.500000	510.891127
46.500000	507.315148
47.500000	511.751816
48.500000	506.842574
49.500000	504.558634
50.500000	511.530057
51.500000	504.857815
52.500000	505.595547
53.500000	508.580339
54.500000	505.448964
55.500000	509.700662
56.500000	509.610363
57.500000	505.343807
58.500000	503.427451
59.500000	509.366486
60.500000	510.407495
61.500000	509.115272
62.500000	507.818720
63.500000	505.402833
64.500000	504.634750
65.500000	508.149894
66.500000	506.227820
67.500000	508.306235
68.500000	506.003628
69.500000	505.567226
70.500000	505.995985
71.500000	504.797853
72.500000	505.382980
73.500000	503.598533
74.500000	506.826080
75.500000	511.507342
76.500000	507.447807
77.500000	507.846621
78.500000	506.080434
79.500000	503.587520
80.500000	507.217812
81.500000	505.256171
82.500000	504.257147
83.500000	499.048690
84.500000	503.706314
85.500000	505.167730
86.500000	505.376761
87.500000	503.378596
88.500000	507.793162
89.500000	506.763459
90.500000	505.262161
91.500000	504.779064
92.500000	505.990175
93.500000	502.243637
94.500000	506.401418
95.500000	503.759635
96.500000	500.641621
97.500000	503.912615
98.500000	513.311479
99.500000	512.930843
100.500000	506.700184
101.500000	508.020514
102.500000	508.628603
103.500000	507.871589
104.500000	506.004299
105.500000	508.810362
106.500000	506.696380
107.500000	507.012333
108.500000	503.962706
109.500000	504.563532
110.500000	506.969750
111.500000	507.934540
112.500000	508.379910
113.500000	505.868852
114.500000	508.558434
115.500000	504.821236
116.500000	507.326760
117.500000	511.176686
118.500000	512.991114
119.500000	507.101900
120.500000	503.603905
121.500000	506.868450
122.500000	507.668446
123.500000	509.721482
124.500000	512.900603
125.500000	502.248874
126.500000	506.600506
127.500000	502.029115
