1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	513.170245
1.500000	511.900320
2.500000	511.857047
3.500000	510.620082
4.500000	516.165311
5.500000	513.388249
6.500000	511.326390
7.500000	510.053662
8.500000	517.734439
9.500000	512.040818
10.500000	508.371483
11.500000	506.521532
12.500000	506.013591
13.500000	510.911903
14.500000	508.777075
15.500000	506.504275
16.500000	508.680056
17.500000	502.231221
18.500000	504.475136
19.500000	508.496703
20.500000	506.969010
21.500000	500.429249
22.500000	501.460200
23.500000	501.840712
24.500000	498.967242
25.500000	496.225784
26.500000	500.016804
27.500000	499.157643
28.500000	504.100956
29.500000	490.763838
30.500000	500.714056
31.500000	503.398302
32.500000	502.828133
33.500000	504.298460
34.500000	500.089658
35.500000	500.441485
36.500000	504.758479
37.500000	511.115642
38.500000	505.051717
39.500000	501.466359
40.500000	510.204492
41.500000	504.803269
42.500000	501.492436
43.500000	501.344606
44.500000	500.295334
45.500000	507.082862
46.500000	501.895573
47.500000	508.016645
48.500000	501.135407
49.500000	500.777041
50.500000	505.202511
51.500000	500.458594
52.500000	498.870381
53.500000	504.496473
54.500000	501.486177
55.500000	505.129503
56.500000	502.841157
57.500000	500.240137
58.500000	498.617543
59.500000	503.594575
60.500000	502.983855
61.500000	504.215622
62.500000	501.190805
63.500000	499.267225
64.500000	500.702018
65.500000	503.393353
66.500000	503.079637
67.500000	503.020003
68.500000	499.875187
69.500000	500.960742
70.500000	498.111242
71.500000	498.572662
72.500000	497.707346
73.500000	498.045752
74.500000	500.285752
75.500000	507.879060
76.500000	503.561714
77.500000	502.969937
78.500000	498.755380
79.500000	497.211645
80.500000	501.039668
81.500000	497.783480
82.500000	496.673063
83.500000	495.264423
84.500000	498.683659
85.500000	499.108621
86.500000	499.196884
87.500000	496.304006
88.500000	501.659895
89.500000	502.703318
90.500000	499.771631
91.500000	500.538943
92.500000	499.655837
93.500000	494.463857
94.500000	500.810588
95.500000	500.753105
96.500000	493.739974
97.500000	498.078564
98.500000	505.445636
99.500000	507.054710
100.500000	502.693937
101.500000	501.454111
102.500000	503.254665
103.500000	501.420151
104.500000	502.214363
105.500000	503.484909
106.500000	502.514810
107.500000	500.617957
108.500000	499.491866
109.500000	498.630709
110.500000	499.993267
111.500000	502.136213
112.500000	504.235428
113.500000	501.921642
114.500000	502.290291
115.500000	498.782270
116.500000	500.416333
117.500000	507.254277
118.500000	508.366242
119.500000	502.939241
120.500000	499.786635
121.500000	500.748596
122.500000	500.538412
123.500000	505.145737
124.500000	506.181334
125.500000	494.623008
126.500000	499.964291
127.500000	496.751779
