1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	5.252333
1.500000	4.066697
2.500000	4.294403
3.500000	4.078254
4.500000	4.404346
5.500000	4.141590
6.500000	3.999113
7.500000	4.183778
8.500000	4.282760
9.500000	4.675805
10.500000	3.952875
11.500000	4.338810
12.500000	4.130481
13.500000	4.140854
14.500000	4.149919
15.500000	4.237284
16.500000	4.148892
17.500000	3.874856
18.500000	3.968592
19.500000	3.838662
20.500000	4.213662
21.500000	4.127113
22.500000	4.152299
23.500000	4.187162
24.500000	4.137357
25.500000	3.767482
26.500000	3.885622
27.500000	4.288467
28.500000	4.185225
29.500000	4.240638
30.500000	4.092357
31.500000	3.972922
32.500000	4.264900
33.500000	4.115921
34.500000	4.080530
35.500000	4.105872
36.500000	4.025287
37.500000	4.247669
38.500000	4.328200
39.500000	3.985810
40.500000	4.246291
41.500000	4.163990
42.500000	3.876129
43.500000	3.863595
44.500000	4.212411
45.500000	4.041615
46.500000	3.871252
47.500000	3.940352
48.500000	4.244965
49.500000	3.750509
50.500000	4.174630
51.500000	4.258111
52.500000	3.768371
53.500000	3.935914
54.500000	3.885132
55.500000	4.062387
56.500000	4.140820
57.500000	4.086579
58.500000	3.915042
59.500000	4.047993
60.500000	3.737751
61.500000	4.320512
62.500000	3.836640
63.500000	3.902256
64.500000	4.122454
65.500000	4.259080
66.500000	4.400303
67.500000	3.707022
68.500000	3.887180
69.500000	4.118310
70.500000	4.082254
71.500000	4.050207
72.500000	4.436955
73.500000	4.150917
74.500000	4.471111
75.500000	3.886974
76.500000	4.143437
77.500000	4.131308
78.500000	3.895357
79.500000	3.939000
80.500000	4.156423
81.500000	4.094004
82.500000	4.450108
83.500000	4.050403
84.500000	4.169503
85.500000	4.281817
86.500000	3.984831
87.500000	4.067123
88.500000	4.407650
89.500000	4.176402
90.500000	3.679031
91.500000	3.993516
92.500000	3.881193
93.500000	3.935019
94.500000	3.970093
95.500000	4.250904
96.500000	4.088129
97.500000	4.286966
98.500000	3.861203
99.500000	4.150271
100.500000	3.969658
101.500000	4.040669
102.500000	4.465206
103.500000	4.323131
104.500000	3.750281
105.500000	4.205407
106.500000	3.849765
107.500000	4.030353
108.500000	4.267228
109.500000	4.048494
110.500000	4.265923
111.500000	4.076240
112.500000	3.852372
113.500000	3.716265
114.500000	3.929284
115.500000	3.994176
116.500000	4.138573
117.500000	4.034396
118.500000	3.937656
119.500000	3.733119
120.500000	3.877101
121.500000	4.019748
122.500000	4.169095
123.500000	4.028106
124.500000	4.720321
125.500000	4.086659
126.500000	4.266262
127.500000	4.880595
