1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	5.015027
1.500000	4.179505
2.500000	3.763263
3.500000	4.042795
4.500000	4.143731
5.500000	4.380572
6.500000	4.452481
7.500000	3.872947
8.500000	4.496100
9.500000	4.081512
10.500000	4.172943
11.500000	3.739727
12.500000	4.128398
13.500000	4.060916
14.500000	4.027923
15.500000	3.964912
16.500000	3.772487
17.500000	4.089746
18.500000	4.016872
19.500000	4.161511
20.500000	3.678044
21.500000	3.778460
22.500000	3.945835
23.500000	3.800577
24.500000	4.068150
25.500000	3.691396
26.500000	4.246053
27.500000	3.657768
28.500000	3.924073
29.500000	3.761438
30.500000	4.242599
31.500000	4.212841
32.500000	3.672106
33.500000	3.937885
34.500000	3.792750
35.500000	4.036570
36.500000	3.704609
37.500000	3.725748
38.500000	3.747409
39.500000	4.009890
40.500000	3.840617
41.500000	3.599008
42.500000	4.097158
43.500000	3.550228
44.500000	3.818038
45.500000	3.737503
46.500000	3.964030
47.500000	3.925907
48.500000	4.057845
49.500000	3.616078
50.500000	4.042342
51.500000	3.997500
52.500000	3.645867
53.500000	3.816745
54.500000	3.781882
55.500000	3.698937
56.500000	4.076742
57.500000	3.744631
58.500000	3.787755
59.500000	3.893778
60.500000	3.947133
61.500000	3.941640
62.500000	3.871020
63.500000	3.596822
64.500000	3.756655
65.500000	3.552019
66.500000	4.097312
67.500000	3.831886
68.500000	3.829189
69.500000	3.769046
70.500000	4.023308
71.500000	4.199207
72.500000	4.009441
73.500000	4.066205
74.500000	3.847271
75.500000	4.032350
76.500000	4.129200
77.500000	4.070052
78.500000	4.426305
79.500000	4.068016
80.500000	4.034577
81.500000	4.075179
82.500000	4.005440
83.500000	4.010548
84.500000	4.190278
85.500000	3.789369
86.500000	3.936297
87.500000	4.226747
88.500000	3.878802
89.500000	4.005233
90.500000	3.982223
91.500000	3.951943
92.500000	3.927913
93.500000	4.013952
94.500000	4.122543
95.500000	3.932160
96.500000	4.311084
97.500000	4.002223
98.500000	3.713363
99.500000	4.085740
100.500000	4.101670
101.500000	3.960648
102.500000	4.287294
103.500000	4.090416
104.500000	4.269138
105.500000	3.798352
106.500000	4.180781
107.500000	4.322398
108.500000	4.168706
109.500000	4.041077
110.500000	3.654680
111.500000	3.644900
112.500000	3.638276
113.500000	4.322604
114.500000	4.066644
115.500000	3.863694
116.500000	4.233566
117.500000	4.082996
118.500000	4.299402
119.500000	4.142287
120.500000	4.025108
121.500000	4.103638
122.500000	4.419985
123.500000	4.104713
124.500000	3.886377
125.500000	4.281541
126.500000	4.082360
127.500000	4.658469
