1D 128 0.000000 128.000000	[nbin xmin xmax]
"X"	"Function_0"
0.500000	7.956568
1.500000	8.276862
2.500000	7.806606
3.500000	8.252875
4.500000	7.828900
5.500000	7.603850
6.500000	7.018953
7.500000	7.788668
8.500000	7.856721
9.500000	8.097761
10.500000	7.619105
11.500000	7.903786
12.500000	7.540876
13.500000	7.637911
14.500000	7.765873
15.500000	7.945027
16.500000	7.436370
17.500000	7.809823
18.500000	7.773065
19.500000	7.455085
20.500000	8.026428
21.500000	7.484611
22.500000	7.439219
23.500000	7.910748
24.500000	7.193699
25.500000	7.783314
26.500000	8.309792
27.500000	7.334095
28.500000	7.332186
29.500000	7.178810
30.500000	7.178652
31.500000	7.645821
32.500000	7.567883
33.500000	7.838429
34.500000	7.222144
35.500000	7.420698
36.500000	7.160446
37.500000	7.431314
38.500000	7.357099
39.500000	7.572409
40.500000	7.375405
41.500000	7.256438
42.500000	6.990576
43.500000	7.253402
44.500000	7.149853
45.500000	7.632478
46.500000	6.978714
47.500000	7.193900
48.500000	6.929482
49.500000	7.342984
50.500000	7.391303
51.500000	7.894959
52.500000	8.019637
53.500000	7.676617
54.500000	7.683435
55.500000	7.169861
56.500000	7.535430
57.500000	7.704336
58.500000	7.828811
59.500000	7.713505
60.500000	6.875577
61.500000	8.023026
62.500000	7.446742
63.500000	7.440094
64.500000	7.534186
65.500000	7.603377
66.500000	7.473894
67.500000	7.095366
68.500000	8.399247
69.500000	7.446624
70.500000	7.515035
71.500000	7.222853
72.500000	8.502722
73.500000	8.159844
74.500000	7.679531
75.500000	8.160064
76.500000	7.925257
77.500000	8.256342
78.500000	7.423244
79.500000	7.432147
80.500000	7.521659
81.500000	7.507942
82.500000	8.234053
83.500000	7.602054
84.500000	7.180723
85.500000	8.157928
86.500000	7.902103
87.500000	7.796537
88.500000	7.058949
89.500000	7.301770
90.500000	7.754601
91.500000	7.430243
92.500000	6.861424
93.500000	7.600349
94.500000	7.973217
95.500000	7.327943
96.500000	7.603359
97.500000	7.608834
98.500000	7.439641
99.500000	7.424297
100.500000	7.359762
101.500000	7.925804
102.500000	7.509848
103.500000	8.085742
104.500000	7.223610
105.500000	7.107083
106.500000	6.962454
107.500000	7.107690
108.500000	7.035572
109.500000	7.313704
110.500000	7.157110
111.500000	7.656911
112.500000	6.944023
113.500000	7.281851
114.500000	7.143766
115.500000	7.534093
116.500000	7.418419
117.500000	8.072603
118.500000	7.191154
119.500000	7.686325
120.500000	7.540033
121.500000	7.705905
122.500000	7.044395
123.500000	7.407193
124.500000	7.827403
125.500000	7.180009
126.500000	7.676713
127.500000	8.091096
