1D 256 -511.500000 511.500000	[nbin xmin xmax]
"X"	"Function_0"
-509.501953	0.000000
-505.505859	0.000000
-501.509766	0.000000
-497.513672	0.000000
-493.517578	0.000000
-489.521484	0.000000
-485.525391	0.000000
-481.529297	0.000000
-477.533203	0.000000
-473.537109	0.000000
-469.541016	0.000000
-465.544922	0.000000
-461.548828	0.000000
-457.552734	0.000000
-453.556641	0.000000
-449.560547	0.000000
-445.564453	0.000000
-441.568359	0.000000
-437.572266	0.000000
-433.576172	0.000000
-429.580078	0.000000
-425.583984	0.000000
-421.587891	0.000000
-417.591797	0.000000
-413.595703	0.000000
-409.599609	0.000000
-405.603516	0.000000
-401.607422	0.000000
-397.611328	0.000000
-393.615234	0.000000
-389.619141	0.000000
-385.623047	0.000000
-381.626953	0.000000
-377.630859	0.000000
-373.634766	0.000000
-369.638672	0.000000
-365.642578	0.000000
-361.646484	0.000000
-357.650391	0.000000
-353.654297	0.000000
-349.658203	0.000000
-345.662109	0.000000
-341.666016	0.000000
-337.669922	0.000000
-333.673828	0.000000
-329.677734	0.000000
-325.681641	0.000000
-321.685547	0.000000
-317.689453	0.000000
-313.693359	0.000000
-309.697266	0.000000
-305.701172	0.000000
-301.705078	0.000000
-297.708984	0.000000
-293.712891	0.000000
-289.716797	0.000000
-285.720703	0.000000
-281.724609	0.000000
-277.728516	0.000000
-273.732422	0.000000
-269.736328	0.000000
-265.740234	0.000000
-261.744141	0.000000
-257.748047	0.000000
-253.751953	0.000000
-249.755859	0.000000
-245.759766	0.000000
-241.763672	0.000000
-237.767578	0.000000
-233.771484	0.000000
-229.775391	0.000000
-225.779297	0.000000
-221.783203	0.000000
-217.787109	0.000000
-213.791016	0.000000
-209.794922	0.000000
-205.798828	0.000000
-201.802734	0.000000
-197.806641	0.000000
-193.810547	0.000000
-189.814453	0.000000
-185.818359	0.000000
-181.822266	0.000000
-177.826172	0.000000
-173.830078	0.000000
-169.833984	0.000000
-165.837891	0.000000
-161.841797	0.000000
-157.845703	0.000000
-153.849609	0.000000
-149.853516	0.000000
-145.857422	0.000000
-141.861328	0.000000
-137.865234	0.000000
-133.869141	0.000000
-129.873047	0.000000
-125.876953	0.000000
-121.880859	0.000000
-117.884766	0.000000
-113.888672	0.000000
-109.892578	0.000000
-105.896484	0.000000
-101.900391	0.000000
-97.904297	0.000000
-93.908203	0.000000
-89.912109	0.000000
-85.916016	0.000000
-81.919922	0.000000
-77.923828	0.000000
-73.927734	0.000000
-69.931641	0.000000
-65.935547	0.000000
-61.939453	0.000000
-57.943359	0.000000
-53.947266	0.000000
-49.951172	0.000000
-45.955078	0.000000
-41.958984	0.000000
-37.962891	0.000000
-33.966797	0.000000
-29.970703	0.000000
-25.974609	0.000000
-21.978516	0.000000
-17.982422	1.000000
-13.986328	0.000000
-9.990234	0.000000
-5.994141	0.000000
-1.998047	0.000000
1.998047	0.000000
5.994141	0.000000
9.990234	0.000000
13.986328	0.000000
17.982422	31.000000
21.978516	380.000000
25.974609	432.000000
29.970703	387.000000
33.966797	420.000000
37.962891	411.000000
41.958984	443.000000
45.955078	446.000000
49.951172	470.000000
53.947266	473.000000
57.943359	571.000000
61.939453	622.000000
65.935547	685.000000
69.931641	740.000000
73.927734	823.000000
77.923828	837.000000
81.919922	966.000000
85.916016	1034.000000
89.912109	1138.000000
93.908203	1241.000000
97.904297	1311.000000
101.900391	1517.000000
105.896484	1580.000000
109.892578	1755.000000
113.888672	1767.000000
117.884766	1992.000000
121.880859	2229.000000
125.876953	2369.000000
129.873047	2611.000000
133.869141	2920.000000
137.865234	3124.000000
141.861328	3222.000000
145.857422	3269.000000
149.853516	3328.000000
153.849609	3290.000000
157.845703	3225.000000
161.841797	3098.000000
165.837891	2965.000000
169.833984	2806.000000
173.830078	2592.000000
177.826172	2396.000000
181.822266	2031.000000
185.818359	1976.000000
189.814453	1725.000000
193.810547	1583.000000
197.806641	1527.000000
201.802734	1288.000000
205.798828	1185.000000
209.794922	1061.000000
213.791016	938.000000
217.787109	819.000000
221.783203	749.000000
225.779297	691.000000
229.775391	666.000000
233.771484	612.000000
237.767578	587.000000
241.763672	498.000000
245.759766	423.000000
249.755859	422.000000
253.751953	418.000000
257.748047	343.000000
261.744141	307.000000
265.740234	301.000000
269.736328	292.000000
273.732422	260.000000
277.728516	277.000000
281.724609	258.000000
285.720703	217.000000
289.716797	214.000000
293.712891	180.000000
297.708984	188.000000
301.705078	171.000000
305.701172	176.000000
309.697266	138.000000
313.693359	150.000000
317.689453	134.000000
321.685547	135.000000
325.681641	141.000000
329.677734	112.000000
333.673828	103.000000
337.669922	107.000000
341.666016	79.000000
345.662109	99.000000
349.658203	102.000000
353.654297	84.000000
357.650391	87.000000
361.646484	67.000000
365.642578	71.000000
369.638672	87.000000
373.634766	68.000000
377.630859	62.000000
381.626953	75.000000
385.623047	63.000000
389.619141	60.000000
393.615234	54.000000
397.611328	60.000000
401.607422	51.000000
405.603516	46.000000
409.599609	51.000000
413.595703	55.000000
417.591797	42.000000
421.587891	37.000000
425.583984	39.000000
429.580078	47.000000
433.576172	40.000000
437.572266	34.000000
441.568359	36.000000
445.564453	36.000000
449.560547	27.000000
453.556641	24.000000
457.552734	25.000000
461.548828	32.000000
465.544922	37.000000
469.541016	26.000000
473.537109	15.000000
477.533203	33.000000
481.529297	24.000000
485.525391	26.000000
489.521484	12.000000
493.517578	17.000000
497.513672	19.000000
501.509766	15.000000
505.505859	13.000000
509.501953	16.000000
