parallel V		senkrecht	
0.848	0.001	0.88	0.001
1.031	0.001	1.410	0.001
0.955	0.001	1.41	0.001
0.951	0.001	1.365	0.001
0.975	0.001	1.336	0.001
1.003	0.001	1.308	0.001
1.009	0.001	1.266	0.001
1.026	0.001	1.22	0.001
1.033	0.001	1.185	0.001
1.025	0.001	1.142	0.001
0.98	0.001	1.072	0.001
1.036	0.001	1.115	0.001
1.033	0.001	1.101	0.001
1.069	0.001	1.092	0.001
1.005	0.001	1.021	0.001
0.951	0.001	0.971	0.001
0.978	0.001	0.986	0.001
