parallel V		senkrecht	
0.800	0.001	0.86	0.001
0.372	0.001	1.377	0.001
0.06	0.001	1.294	0.001
0.003	0.001	1.184	0.001
0.0356	0.001	1.082	0.001
0.096	0.001	0.994	0.001
0.164	0.001	0.916	0.001
0.228	0.001	0.842	0.001
0.287	0.001	0.784	0.001
0.34	0.001	0.732	0.001
0.384	0.001	0.684	0.001
0.421	0.001	0.646	0.001
0.451	0.001	0.614	0.001
0.474	0.001	0.586	0.001
0.499	0.001	0.568	0.001
0.514	0.001	0.552	0.001
0.524	0.001	0.542	0.001
