parallel V		senkrecht	
0.440	0.001	0.59	0.001
0.36	0.001	1.41	0.001
0.102	0.001	1.352	0.001
0.094	0.001	1.27	0.001
0.157	0.001	1.187	0.001
0.237	0.001	1.109	0.001
0.316	0.001	1.043	0.001
0.388	0.001	0.982	0.001
0.45	0.001	0.928	0.001
0.503	0.001	0.879	0.001
0.545	0.001	0.838	0.001
0.586	0.001	0.805	0.001
0.617	0.001	0.774	0.001
0.635	0.001	0.742	0.001
0.656	0.001	0.723	0.001
0.676	0.001	0.714	0.001
0.688	0.001	0.705	0.001
