parallel V		senkrecht	
0.033	0.001	0.035	0.001
0.721	0.001	1.053	0.001
0.371	0.001	0.803	0.001
0.168	0.001	0.59	0.001
0.067	0.001	0.44	0.001
0.02	0.0001	0.328	0.0001
0.001	0.0001	0.25	0.0001
0.0025	0.0001	0.192	0.0001
0.0007	0.0001	0.154	0.0001
0.0074	0.0001	0.124	0.0001
0.0152	0.0001	0.102	0.0001
0.0229	0.0001	0.0862	0.0001
0.0301	0.0001	0.0744	0.0001
0.0364	0.0001	0.0659	0.0001
0.0504	0.0001	0.0687	0.0001
0.0594	0.0001	0.0716	0.0001
0.0646	0.0001	0.076	0.0001
